BPE 2016 - Base permanente des équipements : commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mise en ligne le 11/07/2016       Géographie au 01/01/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©Insee       Source(s) : Insee, Base permanente des équipements 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code IRIS,Libellé IRIS,COM,Libellé commune ou ARM,Région,Département,Hypermarché,Supermarché,Grande surface de bricolage,Supérette,Epicerie,Boulangerie,Boucherie charcuterie,Produits surgelés,Poissonnerie,Librairie papeterie journaux,Magasin de vêtements,Magasin d'équipements du foyer,Magasin de chaussures,Magasin d'électroménager et de matériel audio-vidéo,Magasin de meubles,Magasin d'articles de sports et de loisirs,Magasin de revêtements murs et sols,Droguerie quincaillerie bricolage,Parfumerie,Horlogerie Bijouterie,Fleuriste,Magasin d'optique,Magasin de matériel médical et orthopédique,Station service
IRIS,LIB_IRIS,COM,LIB_COM,REG,DEP,NB_B101,NB_B102,NB_B103,NB_B201,NB_B202,NB_B203,NB_B204,NB_B205,NB_B206,NB_B301,NB_B302,NB_B303,NB_B304,NB_B305,NB_B306,NB_B307,NB_B308,NB_B309,NB_B310,NB_B311,NB_B312,NB_B313,NB_B315,NB_B316
011730102,Ouest,01173,Gex,84,01,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,2,0,1,0,0,0
011730103,Est,01173,Gex,84,01,0,2,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0
01173ZZZZ,Non localisé à l'iris,01173,Gex,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
012830102,Zus Centre,01283,Oyonnax,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012830103,Zus Nord Est,01283,Oyonnax,84,01,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
012830104,Zus Ouest,01283,Oyonnax,84,01,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
012830201,Ville Sud,01283,Oyonnax,84,01,0,2,0,1,3,5,1,0,0,2,11,3,6,0,3,2,0,0,2,2,2,2,2,0
012830202,Ville Est,01283,Oyonnax,84,01,0,0,0,0,3,3,1,0,0,1,15,2,0,0,1,0,0,0,2,2,2,4,0,0
012830203,Nierme et Geilles,01283,Oyonnax,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012830301,Ville Ouest,01283,Oyonnax,84,01,0,2,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0
012830302,Parc Industriel Nord,01283,Oyonnax,84,01,0,0,1,1,1,2,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
012830303,Ville Nord,01283,Oyonnax,84,01,0,0,0,0,2,2,0,0,0,2,7,0,0,0,0,2,0,0,0,0,2,0,0,0
012830304,Exterieur Est,01283,Oyonnax,84,01,0,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0
012830305,Veyziat,01283,Oyonnax,84,01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
012830306,Bouvent,01283,Oyonnax,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01283ZZZZ,Non localisé à l'iris,01283,Oyonnax,84,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
021680101,centre,02168,Château-Thierry,32,02,0,1,0,0,2,9,4,0,0,4,21,2,2,3,0,1,0,0,5,2,3,6,3,0
021680201,Chesneaux,02168,Château-Thierry,32,02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
021680301,Zi,02168,Château-Thierry,32,02,1,2,2,0,0,3,1,0,0,1,10,0,1,1,5,1,0,0,1,1,1,2,1,0
021680401,Mare Aubry,02168,Château-Thierry,32,02,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
021680501,Vaucrises,02168,Château-Thierry,32,02,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
021680601,Gerbrois-St Martin-Le Buisson-Vincelles,02168,Château-Thierry,32,02,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
021680701,Blanchard,02168,Château-Thierry,32,02,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02168ZZZZ,Non localisé à l'iris,02168,Château-Thierry,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
021730101,Nord-Ouest,02173,Chauny,32,02,0,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
021730201,Sud-Ouest,02173,Chauny,32,02,0,1,0,0,3,12,5,0,1,4,21,1,5,2,1,2,0,1,3,3,3,6,2,0
021730301,Nord-Est,02173,Chauny,32,02,1,1,2,0,0,1,1,0,0,0,3,2,0,0,0,0,0,1,0,0,2,1,3,0
02173ZZZZ,Non localisé à l'iris,02173,Chauny,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
024080101,Saint-Exupery-Moulin Roux,02408,Laon,32,02,0,1,0,0,3,1,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
024080102,Centre Social,02408,Laon,32,02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024080103,La Fontaine,02408,Laon,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024080201,Cite du Nord,02408,Laon,32,02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
024080301,Gare Saint-Marcel,02408,Laon,32,02,0,0,0,1,1,3,1,0,0,4,2,1,0,0,1,0,0,0,0,1,1,7,1,0
024080401,Individuels,02408,Laon,32,02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
024080402,Prevert Maraichers,02408,Laon,32,02,1,1,0,0,1,2,0,1,0,2,10,0,3,1,2,1,3,0,2,2,2,2,0,0
024080501,Plateau,02408,Laon,32,02,0,0,0,1,4,5,1,1,0,2,10,0,2,0,0,0,0,1,1,0,1,0,0,0
024080601,Vaux,02408,Laon,32,02,0,0,0,0,3,5,3,0,1,1,13,1,2,1,2,1,0,2,1,1,3,3,0,0
024080701,Zone Industrielle,02408,Laon,32,02,0,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0
024080801,Montreuil-La Neuville-Marquette,02408,Laon,32,02,0,2,0,0,2,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
024080901,Ardon-Leuilly-Semilly,02408,Laon,32,02,0,0,1,0,0,1,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
02408ZZZZ,Non localisé à l'iris,02408,Laon,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
026910101,centre ville 1,02691,Saint-Quentin,32,02,0,0,0,1,3,5,1,0,1,3,25,1,5,0,3,1,1,2,2,0,2,4,4,0
026910102,centre ville 2,02691,Saint-Quentin,32,02,0,0,0,1,1,5,0,0,0,3,29,2,3,3,2,0,0,0,7,6,2,6,2,0
026910103,centre ville 3,02691,Saint-Quentin,32,02,0,0,0,0,5,3,1,0,0,1,19,1,3,2,2,1,0,0,2,1,0,0,1,0
026910104,centre ville 4,02691,Saint-Quentin,32,02,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
026910201,europe-remicourt 1,02691,Saint-Quentin,32,02,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
026910202,europe-remicourt 2,02691,Saint-Quentin,32,02,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026910203,europe-remicourt 3,02691,Saint-Quentin,32,02,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
026910204,europe-remicourt 4,02691,Saint-Quentin,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
026910205,europe-remicourt 5,02691,Saint-Quentin,32,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
026910206,europe-remicourt 6,02691,Saint-Quentin,32,02,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
026910207,europe-remicourt 7,02691,Saint-Quentin,32,02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
