CODGEO,LIBGEO,EMPL11_SEXE1_TP1,EMPL11_SEXE1_TP2,EMPL11_SEXE2_TP1,EMPL11_SEXE2_TP2,EMPL12_SEXE1_TP1,EMPL12_SEXE1_TP2,EMPL12_SEXE2_TP1,EMPL12_SEXE2_TP2,EMPL13_SEXE1_TP1,EMPL13_SEXE1_TP2,EMPL13_SEXE2_TP1,EMPL13_SEXE2_TP2,EMPL14_SEXE1_TP1,EMPL14_SEXE1_TP2,EMPL14_SEXE2_TP1,EMPL14_SEXE2_TP2,EMPL15_SEXE1_TP1,EMPL15_SEXE1_TP2,EMPL15_SEXE2_TP1,EMPL15_SEXE2_TP2,EMPL16_SEXE1_TP1,EMPL16_SEXE1_TP2,EMPL16_SEXE2_TP1,EMPL16_SEXE2_TP2,EMPL21_SEXE1_TP1,EMPL21_SEXE1_TP2,EMPL21_SEXE2_TP1,EMPL21_SEXE2_TP2,EMPL22_SEXE1_TP1,EMPL22_SEXE1_TP2,EMPL22_SEXE2_TP1,EMPL22_SEXE2_TP2,EMPL23_SEXE1_TP1,EMPL23_SEXE1_TP2,EMPL23_SEXE2_TP1,EMPL23_SEXE2_TP2,EMPLOI
01022,Artemare,19,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,10,15,72,15,129,33,27,10,20,10,23,0,5,0,0,0,0,0,406
01023,Asnières-sur-Saône,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,20
01024,Attignat,14,4,4,0,15,0,22,0,3,0,0,0,0,0,0,0,11,7,9,10,371,4,224,66,49,4,13,0,23,0,9,0,0,0,4,0,867
01025,Bâgé-la-Ville,21,0,0,0,10,0,0,5,0,0,3,0,0,0,0,0,5,0,21,18,157,10,145,24,33,15,20,5,28,0,0,0,0,0,0,0,520
01026,Bâgé-le-Châtel,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,14,57,0,66,28,13,0,20,0,0,0,0,0,0,0,0,0,242
01027,Balan,18,4,0,0,8,0,0,0,5,0,0,5,0,0,0,0,150,4,52,11,1385,20,254,114,17,0,22,4,29,5,4,0,0,0,0,0,2113
01028,Baneins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,0,20,0,5,0,9,10,5,0,0,0,0,0,87
01029,Beaupont,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,4,27,11,34,32,13,4,8,8,4,0,0,0,0,0,0,0,167
01030,Beauregard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,10,10,5,0,5,0,5,0,0,0,0,0,0,0,66
01031,Bellignat,17,9,7,1,27,3,35,3,0,0,0,3,5,0,7,0,104,24,59,17,971,16,569,127,28,0,11,4,82,3,17,0,0,0,0,0,2147
01032,Béligneux,5,16,3,0,0,0,4,4,0,0,0,0,5,0,0,0,193,13,68,29,689,4,348,113,12,0,17,8,42,0,12,4,0,4,0,0,1593
01033,Bellegarde-sur-Valserine,60,22,34,12,63,25,49,15,12,5,6,20,0,3,0,0,85,15,135,126,1509,66,1185,497,120,18,69,10,143,3,65,0,2,0,0,0,4372
01034,Belley,32,22,21,12,112,24,56,5,14,5,24,33,5,0,15,0,116,30,180,129,1859,53,1581,704,137,26,118,34,212,3,55,5,0,0,0,0,5621
01035,Belleydoux,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,25
01036,Belmont-Luthézieu,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,5,9,0,0,0,5,0,0,0,0,0,0,0,43
01037,Bénonces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,5,35,0,5,0,5,0,0,0,0,0,0,0,0,0,117
